,Name,F_Category,D_Ratings,S_Rating,Reviews
0,10th & Piedmont,Breakfast & Brunch,$$,2.0 out of 5,3
1,Aamar Indian Cuisine,Indian,$$,3.5 out of 5,17
2,Aladdin's Mediterranean Grill,Mediterranean,$$,3.5 out of 5,11
3,Aldo's Italian Restaurant,Italian,$,2.9 out of 5,2
4,All Flats Cafe,Chicken Wings,$,,
5,Ameer's Mediterranean Grill,Mediterranean,$$,4.8 out of 5,8
6,Amore Cucina & Bar,Pizza,$,,
7,Anh's Kitchen,Vietnamese,$$$,3.6 out of 5,5
8,Antica Posta Ristorante,Italian,$$$,4.0 out of 5,3
9,Apple House,Sushi,$$,1.9 out of 5,3
10,Atlanta Braves All Star Grill,American,$$,4.7 out of 5,4
11,Babylon Cafe,Halal,$$,3.0 out of 5,7
12,Baja Fresh Mexican Grill,Mexican,$,1.4 out of 5,2
13,Bangkok Thai,Thai,$$,3.9 out of 5,10
14,Baraonda Italian Restaurant,Pizza,$$,3.0 out of 5,6
15,BoruBoru Sushi + Bowl,Sushi,$$,,
16,Boston Market - Briarcliff Rd - Atlanta,American,$,3.9 out of 5,3
17,Boston Market - Powers Ferry Rd SE - Atlanta,American,$,,
18,Boston Market - Roswell Rd - Sandy Springs,American,$,1.0 out of 5,1
19,Buenos Dias Cafe,Cafes,$,4.0 out of 5,6
20,Cafe Bombay,Indian,$$,3.6 out of 5,6
21,Canton Buddha,Chinese,$$,3.4 out of 5,8
22,Cheeseburger Bobby's - Sandy Springs,Burgers,$,4.0 out of 5,2
23,Chef Rob's Caribbean Cafe & Upscale Lounge,Caribbean,$$,3.2 out of 5,5
24,China Feng,Chinese,$$,1.6 out of 5,6
25,China Moon Restaurant,Chinese,$$,3.4 out of 5,8
26,Chris' Pizza,Greek,$$,5.0 out of 5,2
27,Courtside Grille,American,$$,5.0 out of 5,2
28,Crazy Atlanta,Burgers,$,2.9 out of 5,11
29,DePalma's Porch,Pizza,$$,3.9 out of 5,11
30,Desi Spice Indian,Indian,$$,3.8 out of 5,8
31,Doc Green's Gourmet Salads & Sandwich Bar,Salads,$$,5.0 out of 5,1
32,Doraku Sushi Buckhead,Sushi,$$,2.8 out of 5,8
33,Dragon Express,Chinese,$,3.0 out of 5,2
34,Dragon Palace,Chinese,$,1.5 out of 5,2
35,El Azteca Mexican Restaurant - Roswell Rd NE,Mexican,$$,3.5 out of 5,9
36,Firehouse Subs - Peachtree St NE,Delis,$,2.4 out of 5,3
37,Five Guys - 3393 Peachtree,Burgers,$,,
38,"Five Guys - Sandy Springs, GA",Burgers,$,5.0 out of 5,1
39,FLIP burger boutique,Burgers,$$,,
40,Genki Noodles & Sushi - The Prado,Sushi,$$,5.0 out of 5,5
41,Genki Noodles and Sushi - Highland Ave,Asian Fusion,$$,3.3 out of 5,15
42,Great Wraps Grill - Lenox Mall,Breakfast & Brunch,$$,,
43,Guaco Joe's,Mexican,$$,3.9 out of 5,7
44,Gyro Bros - Georgia Tech,Greek,$,3.4 out of 5,13
45,Gyro Bros - Midtown,American,$,3.0 out of 5,1
46,Gyro Bros - Sandy Springs,Greek,$,3.7 out of 5,5
47,Haveli Indian Cuisine,Indian,$$,3.0 out of 5,1
48,Himalayan Spice,Himalayan & Nepalese,$$,5.0 out of 5,4
49,Hong Kong Harbour,Chinese,$$,2.2 out of 5,8
50,Hsu's Gourmet Chinese Restaurant,Chinese,$$,4.2 out of 5,5
51,Industry Tavern,American,$$,4.1 out of 5,26
52,J.R. Crickets North Decatur,Burgers,$$,1.0 out of 5,1
53,Jai Ho Indian Kitchen & Bar,Indian,$$,4.6 out of 5,3
54,Jersey Mike's Subs - Collier Hills,Fast Food,$,5.0 out of 5,3
55,Kong's Kitchen,Chinese,$$,1.0 out of 5,1
56,La Grotta Ristorante Italiano,Italian,$$$,4.7 out of 5,5
57,Landmark Diner - Buckhead,American,$$,5.0 out of 5,2
58,Landmark Diner - Downtown,American,$$,2.2 out of 5,3
59,Laseter's Tavern,American,$,4.0 out of 5,8
60,Lavash Mediterranean Grill,Mediterranean,$,4.0 out of 5,10
61,Little Five Points Pizza,Pizza,$,3.6 out of 5,2
62,Lucky Buddha,Chinese,$,2.2 out of 5,4
63,Lucky Thai,Sushi,$$,4.7 out of 5,7
64,Maggiano's Little Italy - Peachtree Road,Italian,$$,2.9 out of 5,4
65,Mama Mia Pizza And Wings,Chicken Wings,$$,3.2 out of 5,5
66,Marcos Pizza Bolton Road,Pizza,$$,2.8 out of 5,2
67,Masti Atlanta,Indian,$$,5.0 out of 5,5
68,Mediterranean Grill - Midtown,Mediterranean,$,4.1 out of 5,8
69,Meehan's Public House - Paces Ferry Rd,American,$$,4.2 out of 5,6
70,MidiCi Neapolitan Pizza,Pizza,$,2.8 out of 5,2
71,Mirko Pasta,Italian,$$,4.8 out of 5,7
72,Mix'D Up Burgers,Burgers,$$,3.6 out of 5,15
73,Mr. Pig's Smokehouse,Barbecue,$$,3.5 out of 5,4
74,Napoleon's Grill,American,$$,,
75,Nectar,Juice Bars & Smoothies,$,5.0 out of 5,5
